Product_Name,Rating,Customer_Rated,Price
Super Smash Bros. Ultimate - Nintendo Switch,4.9 out of 5 stars,"37,798",$45.00
"TCL 32"" 3-Series 720p Roku Smart TV - 32S335",4.6 out of 5 stars,"38,920",$128.00
"HeimVision Sunrise Alarm Clock, A80S Smart Wake up Light Work with Alexa, Sleep Aid Digital Alarm Clock with Sunset…",4.4 out of 5 stars,"9,269",$65.99
"Apple TV 4K (32GB, Latest Model)",4.8 out of 5 stars,"17,338",$179.00
Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal),4.6 out of 5 stars,"30,651",$89.99
"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - Black",4.6 out of 5 stars,"24,294",$149.98
"GE, White, 6 Outlet 2 Pack, 2 Ft Cord, Switched Power Strip, Integrated Circuit Breaker, Overload Protection, Wall…",4.7 out of 5 stars,"12,659",$12.42
"Anker Power Strip with USB, PowerPort Cube USB with 3 Outlets and 3 USB Ports, 5 ft Extension Cord, Portable Design…",4.8 out of 5 stars,"24,120",0
Dash Cam Front and Rear CHORTAU Dual Dash Cam 3 inch Dashboard Camera Full HD 170° Wide Angle Backup Camera with Night…,4.3 out of 5 stars,"9,861",$49.98
"New Apple iPad (10.2-inch, Wi-Fi, 32GB) - Gold (Latest Model, 8th Generation)",4.9 out of 5 stars,"20,369",$339.99
"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170…",4.5 out of 5 stars,"12,183",$79.97
"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep and Swim Tracking, Black…",4.6 out of 5 stars,"85,427",$167.00
Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),4.9 out of 5 stars,"56,656",$309.95
Nintendo Switch AC Adapter,4.8 out of 5 stars,"6,800",$9.99
"Apple Lightning to HDMI Digital AV Adapter,[Apple MFi Certified] 1080P HDMI Sync Screen Digital Audio AV Converter with…",3.8 out of 5 stars,"2,910",$19.98
"300 PCS Stickers Pack (50-850Pcs/Pack), Colorful Waterproof Stickers for Flask, Laptop, Phone, Water Bottle, Cute…",4.6 out of 5 stars,"3,160",$13.89
Super Mario 3D All-Stars - Nintendo Switch,4.8 out of 5 stars,"32,333",$54.99
"Apple Watch Series 3 (GPS, 42mm) - Space Gray Aluminium Case with Black Sport Band",4.8 out of 5 stars,"103,368",$259.96
"Power Strip with USB C, 3 Outlets 4 USB Ports (22.5W/4.5A) Desktop Charging Station, Flat Plug, 5ft Braided Extension…",4.8 out of 5 stars,"4,396",$17.99
"Surge Protector Wall Mount , Outlet Splitter with Rotating Plug, POWERIVER Power Strip with 6 Outlet Extender (3 Side…",4.6 out of 5 stars,"8,597",0
NETGEAR Nighthawk Cable Modem Wi-Fi Router Combo C7000-Compatible with Cable Providers Including Xfinity by Comcast…,4.4 out of 5 stars,"13,527",$169.99
"Hmrope 100pcs Cable Zip Ties Heavy Duty 8 Inch, Premium Plastic Wire Ties with 50 Pounds Tensile Strength, Self-Locking…",4.7 out of 5 stars,"6,715",$6.29
"HP VH240a 23.8-Inch Full HD 1080p IPS LED Monitor with Built-In Speakers and VESA Mounting, Rotating Portrait…",4.7 out of 5 stars,"19,194",$157.90
Victure 1080P 4Pcs Indoor Security Camera System Home Monitor with 2.4Ghz Pet/Baby/Nanny Security Surveillance Camera…,4.3 out of 5 stars,"10,186",$33.99
"USB Wall Charger, Surge Protector, 5 Outlet Extender with 4 USB Charging Ports ( 1 USB C Outlet, 4.5A Total) 3-Sided…",4.8 out of 5 stars,"2,899",$19.99
"APEMAN Dash Cam 1080P FHD DVR Car Driving Recorder 3 Inch LCD Screen 170° Wide Angle, G-Sensor, WDR, Parking Monitor…",4.4 out of 5 stars,"22,963",$33.99
Roku Streaming Stick plus | 4K/HDR/HD Streaming Player with 4X The Wireless Range & Voice Remote with TV Power and…,4.6 out of 5 stars,"5,786",$42.99
"Mpow BH129 Bluetooth Receiver for Car, Aux Bluetooth Car Adapter 5.0 for Wired Speakers/Headphones/Home Music Streaming…",4.4 out of 5 stars,"19,563",$17.99
PASOW 50pcs Cable Ties Reusable Fastening Wire Organizer Cord Rope Holder 7 Inch (Black),4.7 out of 5 stars,"13,927",$7.99
"New Apple Watch Series 6 (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band",4.8 out of 5 stars,"17,757",$430.94
Apple 85W MagSafe 2 Power Adapter (for MacBook Pro with Retina display),4.7 out of 5 stars,"4,305",$79.00
"TCL 4K Smart LED TV, 43"" (43S435)",4.6 out of 5 stars,"1,532",$238.90
"Willful Smart Watch for Android Phones and iOS Phones Compatible iPhone Samsung, IP68 Swimming Waterproof Smartwatch…",4.3 out of 5 stars,"26,410",$35.99
Mac Book Air Charger Replacement AC 45W Power T-tip Shape Connector Power Adapter for 11 inch and 13 inch After Mid 2012,4.6 out of 5 stars,279,$24.96
"TP-Link Deco Mesh WiFi System(Deco M5) –Up to 5,500 sq. ft. Whole Home Coverage and 100+ Devices,WiFi Router/Extender…",4.6 out of 5 stars,"12,766",$149.99
"Dell 27 LED backlit LCD Monitor SE2719H IPS Full HD 1080p 1920 x 1080 at 60 Hz HDMI VGA,Black",4.7 out of 5 stars,"5,602",$162.99
"2 Pack Surge Protector Power Strip with 6 Outlets 2 USB Ports, 5-Foot Long Heavy-Duty Braided Extension Cords, Flat Plug…",4.8 out of 5 stars,"4,032",$34.99
Fire TV Cube | Hands-free streaming device with Alexa | 4K Ultra HD | 2019 release,4.6 out of 5 stars,"35,965",$119.99
"Anykit Ear Wax Removal Tool, HD Otoscope for Android and PC-NOT for iPhone/iPad, Ultra Clear View Ear Camera with Wax…",4.0 out of 5 stars,"6,759",$39.99
"The Office Stickers Pack of 50 Stickers - The Office Stickers for Laptops, The Office Laptop Stickers, Funny Stickers…",4.8 out of 5 stars,"5,923",$6.99
"Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Black",4.6 out of 5 stars,"147,213",0
Alex Tech 10ft - 1/2 inch Cord Protector Wire Loom Tubing Cable Sleeve Split Sleeving For USB Cable Power Cord Audio…,4.7 out of 5 stars,"13,214",$9.99
"Anker Power Strip with USB PowerExtend USB 2 mini, 2 Outlets, and 2 USB Ports, Flat Plug, 5 ft Extension Cord, Safety…",4.8 out of 5 stars,"8,054",0
"Power Strip,Witeem Surge Protector with 12-Outlet (1875W/15A,4360Joules) and 4 USB Charging Ports (5V/6A,30W),6Ft…",4.8 out of 5 stars,"8,702",$26.99
"Motorola 24x8 Cable Modem, Model MB7621, DOCSIS 3.0. Approved by Comcast Xfinity, Cox, Charter Spectrum, Time Warner…",4.5 out of 5 stars,"5,151",$77.97
"Cable Zip Ties,500 Packs Self-Locking 4+6+8+10+12-Inch Width 0.16inch Nylon Cable Ties,Perfect for Home,Office,Garage…",4.7 out of 5 stars,"4,498",$14.98
Ring Stick Up Cam Battery with Echo Show 5 (Charcoal),4.8 out of 5 stars,171,$144.98
"Fire HD 8 Plus tablet, HD display, 32 GB, our best 8"" tablet for portable entertainment, Slate",4.5 out of 5 stars,"14,965",$139.99
"GE Power Strip Surge Protector, 6 Outlets, Flat Plug, 2ft Power Cord, Wall Mount, White, 40532",4.7 out of 5 stars,"3,412",$9.88
"FosPower Emergency Solar Hand Crank Portable Radio, NOAA Weather Radio for Household and Outdoor Emergency with AM/FM…",4.6 out of 5 stars,"11,437",$34.99
"Mac Book Pro Charger, Replacement AC 60W Power Adapter, 60W White Charger L-Tip Magnetic Connector Compatible for Mac…",4.7 out of 5 stars,452,$24.99
"Cable Clips - Cord Organizer - Cable Management - Wire Holder System - 6 Pack Adhesive Cord Hooks - Home, Office…",4.3 out of 5 stars,"12,623",$5.71
"YI Security Home Camera Baby Monitor, 1080p WiFi Smart Wireless Indoor Nanny IP Cam with Night Vision, 2-Way Audio…",4.3 out of 5 stars,"36,883",$49.99
Kindle Oasis – Now with adjustable warm light – Ad-Supported + Kindle Unlimited (with auto-renewal),4.6 out of 5 stars,"12,694",$249.99
"Ring Spare Parts Kit for Floodlight Cam, Black",4.7 out of 5 stars,798,0
